id,area,latitude,longitude,crime_type,severity,date,time,time_of_day,target_group,gender,age,age_group,crime_count,police_station,status
28,Civil Lines,25.45,81.84,Harassment,1,23-08-2025,23:30,Night,Children,Male,19,Teen,3,Civil Lines PS,Reported
29,Lukerganj,25.444,81.828,Theft,1,06-04-2025,08:43,Morning,Children,Male,73,Senior,3,Lukerganj PS,Unreported
30,Phaphamau,25.503,81.885,Harassment,3,24-09-2025,10:31,Morning,All,Female,59,Adult,2,Phaphamau PS,Unreported
31,Phaphamau,25.503,81.885,Harassment,1,10-02-2025,15:13,Afternoon,Children,Female,36,Adult,2,Phaphamau PS,Unreported
32,Civil Lines,25.45,81.84,Harassment,4,02-03-2025,00:50,Night,All,Male,51,Adult,2,Civil Lines PS,Reported
33,Allahpur,25.4602,81.8501,Robbery,5,07-02-2025,17:28,Evening,All,Male,67,Senior,1,Allahpur PS,Unreported
34,Civil Lines,25.45,81.84,Chain Snatching,2,28-05-2025,08:49,Morning,All,Male,75,Senior,1,Civil Lines PS,Unreported
35,Naini,25.3925,81.863,Chain Snatching,2,13-08-2025,04:06,Night,Women,Male,17,Teen,3,Naini PS,Unreported
36,Civil Lines,25.45,81.84,Chain Snatching,3,21-04-2025,13:48,Afternoon,Women,Male,66,Senior,1,Civil Lines PS,Under Investigation
37,Lukerganj,25.444,81.828,Robbery,5,20-07-2025,04:39,Night,All,Male,63,Senior,3,Lukerganj PS,Closed
38,Kareli,25.418,81.815,Harassment,1,07-03-2025,18:19,Evening,Women,Male,69,Senior,1,Kareli PS,Reported
39,Jhunsi,25.402,81.9,Kidnapping,4,28-11-2025,06:32,Morning,All,Male,28,Adult,2,Jhunsi PS,Closed
40,Katra,25.4358,81.8463,Robbery,5,07-12-2025,07:17,Morning,All,Male,19,Teen,1,Katra PS,Under Investigation
41,Civil Lines,25.45,81.84,Harassment,4,02-03-2025,16:14,Afternoon,All,Female,41,Adult,1,Civil Lines PS,Unreported
42,Dhoomanganj,25.448,81.79,Kidnapping,4,26-07-2025,10:38,Morning,Women,Male,10,Child,1,Dhoomanganj PS,Under Investigation
43,Dhoomanganj,25.448,81.79,Harassment,4,26-05-2025,23:42,Night,Children,Male,30,Adult,1,Dhoomanganj PS,Closed
44,Katra,25.4358,81.8463,Kidnapping,5,07-10-2025,05:42,Night,Women,Female,30,Adult,3,Katra PS,Reported
45,Dhoomanganj,25.448,81.79,Chain Snatching,2,16-05-2025,05:49,Night,All,Male,11,Child,2,Dhoomanganj PS,Closed
46,George Town,25.4421,81.8329,Theft,4,17-05-2025,10:58,Morning,Women,Male,19,Teen,3,George Town PS,Under Investigation
47,Allahpur,25.4602,81.8501,Harassment,2,27-10-2025,03:13,Night,Children,Male,12,Child,3,Allahpur PS,Closed
48,Lukerganj,25.444,81.828,Harassment,3,01-03-2025,04:31,Night,Women,Male,16,Teen,2,Lukerganj PS,Under Investigation
49,Lukerganj,25.444,81.828,Kidnapping,5,26-10-2025,08:11,Morning,Children,Male,51,Adult,1,Lukerganj PS,Reported
50,Katra,25.4358,81.8463,Robbery,4,10-03-2025,10:24,Morning,Women,Male,64,Senior,1,Katra PS,Under Investigation
51,Kareli,25.418,81.815,Kidnapping,5,27-10-2025,23:31,Night,Women,Male,61,Senior,1,Kareli PS,Under Investigation
52,Civil Lines,25.45,81.84,Theft,2,01-07-2025,17:54,Evening,All,Female,35,Adult,3,Civil Lines PS,Reported
53,Dhoomanganj,25.448,81.79,Theft,1,14-02-2025,00:50,Night,All,Female,33,Adult,3,Dhoomanganj PS,Unreported
54,Meerapur,25.43,81.82,Theft,3,08-09-2025,23:00,Night,Children,Male,41,Adult,2,Meerapur PS,Reported
55,Kareli,25.418,81.815,Chain Snatching,3,05-12-2025,20:44,Evening,All,Male,69,Senior,3,Kareli PS,Reported
56,Lukerganj,25.444,81.828,Harassment,1,11-12-2025,14:05,Afternoon,Women,Female,69,Senior,2,Lukerganj PS,Under Investigation
57,George Town,25.4421,81.8329,Chain Snatching,4,27-12-2025,08:05,Morning,Women,Female,13,Teen,3,George Town PS,Under Investigation
58,Phaphamau,25.503,81.885,Chain Snatching,1,17-07-2025,08:03,Morning,Children,Male,49,Adult,2,Phaphamau PS,Closed
59,Naini,25.3925,81.863,Robbery,4,02-04-2025,15:46,Afternoon,Children,Female,10,Child,3,Naini PS,Under Investigation
60,Katra,25.4358,81.8463,Theft,4,09-12-2025,14:01,Afternoon,Children,Female,52,Adult,1,Katra PS,Unreported
61,Kareli,25.418,81.815,Robbery,4,16-05-2025,06:19,Morning,All,Male,29,Adult,2,Kareli PS,Under Investigation
62,Allahpur,25.4602,81.8501,Chain Snatching,4,01-12-2025,15:59,Afternoon,Women,Female,17,Teen,2,Allahpur PS,Closed
63,Civil Lines,25.45,81.84,Chain Snatching,3,25-02-2025,20:25,Evening,All,Male,51,Adult,2,Civil Lines PS,Closed
64,George Town,25.4421,81.8329,Kidnapping,4,24-11-2025,11:29,Morning,Women,Male,69,Senior,3,George Town PS,Unreported
65,Phaphamau,25.503,81.885,Chain Snatching,1,10-01-2025,06:41,Morning,Women,Female,60,Adult,2,Phaphamau PS,Unreported
66,Naini,25.3925,81.863,Robbery,4,22-08-2025,20:38,Evening,Children,Male,18,Teen,3,Naini PS,Closed
67,Dhoomanganj,25.448,81.79,Theft,4,02-01-2025,01:46,Night,Women,Male,67,Senior,1,Dhoomanganj PS,Under Investigation
68,Phaphamau,25.503,81.885,Assault,4,13-06-2025,12:45,Afternoon,Women,Male,16,Teen,1,Phaphamau PS,Reported
69,Daraganj,25.428,81.889,Assault,4,01-03-2025,09:16,Morning,Women,Male,36,Adult,1,Daraganj PS,Under Investigation
70,Dhoomanganj,25.448,81.79,Kidnapping,4,24-06-2025,11:33,Morning,All,Female,73,Senior,1,Dhoomanganj PS,Under Investigation
71,Kareli,25.418,81.815,Chain Snatching,2,21-05-2025,04:46,Night,All,Male,71,Senior,3,Kareli PS,Under Investigation
72,Phaphamau,25.503,81.885,Harassment,4,15-12-2025,02:20,Night,Children,Female,17,Teen,3,Phaphamau PS,Closed
73,Daraganj,25.428,81.889,Harassment,1,13-05-2025,09:02,Morning,Women,Female,58,Adult,1,Daraganj PS,Reported
74,Allahpur,25.4602,81.8501,Chain Snatching,1,11-04-2025,21:10,Night,Children,Female,52,Adult,2,Allahpur PS,Closed
75,Lukerganj,25.444,81.828,Assault,5,27-07-2025,11:06,Morning,Women,Male,16,Teen,1,Lukerganj PS,Unreported
76,Naini,25.3925,81.863,Theft,2,17-09-2025,13:19,Afternoon,Women,Male,50,Adult,2,Naini PS,Closed
77,Allahpur,25.4602,81.8501,Assault,4,25-04-2025,11:24,Morning,Children,Female,58,Adult,3,Allahpur PS,Unreported
78,Meerapur,25.43,81.82,Theft,4,27-09-2025,15:30,Afternoon,Children,Female,26,Adult,1,Meerapur PS,Unreported
79,Daraganj,25.428,81.889,Kidnapping,5,28-03-2025,12:52,Afternoon,Children,Male,49,Adult,2,Daraganj PS,Closed
80,Katra,25.4358,81.8463,Kidnapping,4,20-05-2025,05:24,Night,Women,Female,69,Senior,3,Katra PS,Unreported
81,Kareli,25.418,81.815,Theft,2,14-07-2025,23:06,Night,Children,Female,27,Adult,2,Kareli PS,Closed
82,Kareli,25.418,81.815,Assault,4,07-01-2025,15:45,Afternoon,Children,Female,55,Adult,1,Kareli PS,Under Investigation
83,Daraganj,25.428,81.889,Theft,1,18-08-2025,10:01,Morning,All,Female,44,Adult,3,Daraganj PS,Reported
84,Dhoomanganj,25.448,81.79,Robbery,5,03-12-2025,15:46,Afternoon,All,Male,30,Adult,3,Dhoomanganj PS,Reported
85,George Town,25.4421,81.8329,Theft,4,13-03-2025,01:23,Night,Women,Male,51,Adult,3,George Town PS,Unreported
86,Daraganj,25.428,81.889,Harassment,3,07-06-2025,19:42,Evening,Children,Male,27,Adult,2,Daraganj PS,Reported
87,Allahpur,25.4602,81.8501,Harassment,2,23-09-2025,01:31,Night,All,Male,72,Senior,3,Allahpur PS,Under Investigation
88,Civil Lines,25.45,81.84,Chain Snatching,1,29-10-2025,09:00,Morning,Children,Female,64,Senior,1,Civil Lines PS,Closed
89,Katra,25.4358,81.8463,Theft,4,15-08-2025,09:00,Morning,All,Female,58,Adult,1,Katra PS,Reported
90,Kareli,25.418,81.815,Chain Snatching,4,06-11-2025,10:28,Morning,All,Female,21,Adult,3,Kareli PS,Reported
91,Katra,25.4358,81.8463,Theft,3,24-04-2025,23:14,Night,Women,Male,34,Adult,1,Katra PS,Under Investigation
92,Katra,25.4358,81.8463,Assault,4,03-01-2025,22:43,Night,Women,Male,11,Child,3,Katra PS,Under Investigation
93,Phaphamau,25.503,81.885,Robbery,4,07-09-2025,17:48,Evening,Children,Female,25,Adult,3,Phaphamau PS,Unreported
94,Phaphamau,25.503,81.885,Harassment,3,19-08-2025,21:47,Night,All,Female,30,Adult,1,Phaphamau PS,Under Investigation
95,Daraganj,25.428,81.889,Theft,2,13-04-2025,14:14,Afternoon,Children,Male,40,Adult,2,Daraganj PS,Unreported
96,Naini,25.3925,81.863,Assault,4,14-04-2025,03:29,Night,Children,Female,75,Senior,1,Naini PS,Reported
97,Naini,25.3925,81.863,Kidnapping,5,23-10-2025,03:58,Night,Children,Female,71,Senior,1,Naini PS,Under Investigation
98,Allahpur,25.4602,81.8501,Kidnapping,4,19-11-2025,22:30,Night,Children,Male,64,Senior,2,Allahpur PS,Unreported
99,Daraganj,25.428,81.889,Theft,2,26-01-2025,17:25,Evening,All,Male,70,Senior,2,Daraganj PS,Under Investigation
100,Naini,25.3925,81.863,Kidnapping,5,19-03-2025,05:19,Night,All,Male,43,Adult,1,Naini PS,Closed
101,Civil Lines,25.45,81.84,Robbery,4,14-09-2025,12:47,Afternoon,Children,Female,33,Adult,1,Civil Lines PS,Closed
102,Daraganj,25.428,81.889,Robbery,5,17-08-2025,07:21,Morning,All,Female,8,Child,3,Daraganj PS,Reported
103,Meerapur,25.43,81.82,Theft,1,27-07-2025,19:38,Evening,Children,Male,43,Adult,1,Meerapur PS,Under Investigation
104,Kareli,25.418,81.815,Harassment,1,01-11-2025,04:58,Night,Women,Female,72,Senior,3,Kareli PS,Unreported
105,Katra,25.4358,81.8463,Kidnapping,4,20-11-2025,08:10,Morning,All,Male,75,Senior,2,Katra PS,Under Investigation
106,George Town,25.4421,81.8329,Assault,5,14-07-2025,20:14,Evening,All,Male,35,Adult,3,George Town PS,Under Investigation
107,Naini,25.3925,81.863,Theft,1,03-07-2025,00:27,Night,Women,Female,23,Adult,2,Naini PS,Under Investigation
108,Jhunsi,25.402,81.9,Robbery,4,11-12-2025,08:44,Morning,Children,Male,44,Adult,1,Jhunsi PS,Under Investigation
109,George Town,25.4421,81.8329,Assault,4,28-07-2025,23:52,Night,Women,Male,49,Adult,1,George Town PS,Reported
110,Jhunsi,25.402,81.9,Kidnapping,5,22-03-2025,17:38,Evening,Children,Female,30,Adult,1,Jhunsi PS,Under Investigation
111,Allahpur,25.4602,81.8501,Assault,5,24-12-2025,11:21,Morning,Women,Male,69,Senior,1,Allahpur PS,Closed
112,Jhunsi,25.402,81.9,Theft,4,26-04-2025,16:30,Afternoon,Women,Male,58,Adult,3,Jhunsi PS,Reported
113,Jhunsi,25.402,81.9,Chain Snatching,2,05-11-2025,01:35,Night,Children,Male,49,Adult,2,Jhunsi PS,Unreported
114,Jhunsi,25.402,81.9,Kidnapping,5,19-04-2025,22:35,Night,Children,Male,40,Adult,2,Jhunsi PS,Reported
115,Lukerganj,25.444,81.828,Robbery,5,29-07-2025,02:31,Night,All,Male,45,Adult,2,Lukerganj PS,Closed
116,Lukerganj,25.444,81.828,Theft,4,28-12-2025,20:57,Evening,Women,Female,59,Adult,3,Lukerganj PS,Reported
117,Dhoomanganj,25.448,81.79,Robbery,4,26-06-2025,17:47,Evening,Children,Female,75,Senior,1,Dhoomanganj PS,Closed
118,Civil Lines,25.45,81.84,Theft,2,15-04-2025,05:03,Night,All,Female,69,Senior,2,Civil Lines PS,Closed
119,Naini,25.3925,81.863,Assault,5,08-03-2025,18:19,Evening,Women,Female,41,Adult,1,Naini PS,Unreported
120,Kareli,25.418,81.815,Kidnapping,5,30-11-2025,04:51,Night,Women,Male,22,Adult,2,Kareli PS,Closed
121,Phaphamau,25.503,81.885,Kidnapping,4,17-04-2025,13:31,Afternoon,Women,Male,54,Adult,1,Phaphamau PS,Under Investigation
122,George Town,25.4421,81.8329,Theft,4,14-08-2025,23:15,Night,All,Male,14,Teen,1,George Town PS,Under Investigation
123,Lukerganj,25.444,81.828,Assault,5,16-02-2025,20:47,Evening,Women,Female,52,Adult,2,Lukerganj PS,Reported
124,Meerapur,25.43,81.82,Robbery,5,10-03-2025,06:48,Morning,Children,Male,50,Adult,3,Meerapur PS,Under Investigation
125,Meerapur,25.43,81.82,Harassment,3,21-10-2025,22:42,Night,Women,Female,36,Adult,1,Meerapur PS,Under Investigation
126,Allahpur,25.4602,81.8501,Assault,4,25-07-2025,20:04,Evening,Children,Female,29,Adult,3,Allahpur PS,Reported
127,Daraganj,25.428,81.889,Assault,4,07-12-2025,16:21,Afternoon,Women,Female,25,Adult,3,Daraganj PS,Reported
128,Daraganj,25.428,81.889,Theft,3,14-02-2025,09:15,Morning,Children,Female,23,Adult,2,Daraganj PS,Unreported
129,Dhoomanganj,25.448,81.79,Assault,5,19-06-2025,13:26,Afternoon,All,Female,19,Teen,3,Dhoomanganj PS,Unreported
130,Lukerganj,25.444,81.828,Chain Snatching,1,17-02-2025,18:18,Evening,All,Male,13,Teen,3,Lukerganj PS,Unreported
131,Lukerganj,25.444,81.828,Robbery,5,05-12-2025,17:21,Evening,All,Female,25,Adult,2,Lukerganj PS,Unreported
132,Allahpur,25.4602,81.8501,Theft,1,04-09-2025,01:02,Night,Women,Male,35,Adult,1,Allahpur PS,Closed
133,Naini,25.3925,81.863,Theft,3,21-04-2025,20:59,Evening,All,Male,26,Adult,3,Naini PS,Reported
134,George Town,25.4421,81.8329,Chain Snatching,2,11-04-2025,10:09,Morning,Women,Male,68,Senior,2,George Town PS,Closed
135,Naini,25.3925,81.863,Assault,5,12-09-2025,22:34,Night,Women,Female,45,Adult,3,Naini PS,Closed
136,Lukerganj,25.444,81.828,Robbery,4,21-05-2025,23:36,Night,All,Male,56,Adult,1,Lukerganj PS,Closed
137,Katra,25.4358,81.8463,Kidnapping,4,06-01-2025,17:06,Evening,All,Female,18,Teen,3,Katra PS,Reported
138,Civil Lines,25.45,81.84,Harassment,2,01-02-2025,15:02,Afternoon,All,Female,15,Teen,1,Civil Lines PS,Under Investigation
139,George Town,25.4421,81.8329,Robbery,4,26-06-2025,02:11,Night,Women,Female,15,Teen,1,George Town PS,Unreported
140,Naini,25.3925,81.863,Kidnapping,5,01-03-2025,16:28,Afternoon,Children,Female,43,Adult,2,Naini PS,Under Investigation
141,Phaphamau,25.503,81.885,Assault,5,30-10-2025,16:53,Afternoon,Women,Female,51,Adult,3,Phaphamau PS,Under Investigation
142,Daraganj,25.428,81.889,Robbery,4,30-11-2025,06:04,Morning,Women,Male,14,Teen,3,Daraganj PS,Unreported
143,Phaphamau,25.503,81.885,Kidnapping,4,02-10-2025,05:05,Night,All,Male,48,Adult,2,Phaphamau PS,Unreported
144,Katra,25.4358,81.8463,Assault,4,07-07-2025,21:32,Night,Children,Male,64,Senior,2,Katra PS,Reported
145,Naini,25.3925,81.863,Kidnapping,5,09-10-2025,07:08,Morning,All,Male,41,Adult,1,Naini PS,Under Investigation
146,Civil Lines,25.45,81.84,Theft,2,09-04-2025,11:27,Morning,All,Female,68,Senior,2,Civil Lines PS,Unreported
147,Phaphamau,25.503,81.885,Chain Snatching,2,28-06-2025,22:33,Night,Women,Female,38,Adult,1,Phaphamau PS,Closed
148,Civil Lines,25.45,81.84,Assault,4,03-11-2025,08:12,Morning,All,Male,71,Senior,1,Civil Lines PS,Unreported
149,Kareli,25.418,81.815,Chain Snatching,2,28-07-2025,20:11,Evening,All,Male,33,Adult,3,Kareli PS,Unreported
150,George Town,25.4421,81.8329,Harassment,4,11-04-2025,08:47,Morning,Women,Female,74,Senior,1,George Town PS,Unreported
151,George Town,25.4421,81.8329,Assault,4,27-10-2025,11:51,Morning,Women,Female,37,Adult,2,George Town PS,Closed
152,Meerapur,25.43,81.82,Harassment,2,15-10-2025,04:40,Night,Women,Male,66,Senior,2,Meerapur PS,Reported
153,Allahpur,25.4602,81.8501,Kidnapping,5,25-12-2025,08:12,Morning,Children,Male,66,Senior,3,Allahpur PS,Unreported
154,Civil Lines,25.45,81.84,Theft,3,01-02-2025,04:00,Night,Children,Male,32,Adult,2,Civil Lines PS,Reported
155,Kareli,25.418,81.815,Kidnapping,5,03-11-2025,18:00,Evening,Women,Female,12,Child,2,Kareli PS,Under Investigation
156,Allahpur,25.4602,81.8501,Harassment,4,01-12-2025,08:41,Morning,Women,Male,11,Child,1,Allahpur PS,Unreported
157,Jhunsi,25.402,81.9,Chain Snatching,2,14-05-2025,20:41,Evening,Children,Male,48,Adult,3,Jhunsi PS,Under Investigation
158,Meerapur,25.43,81.82,Assault,5,11-02-2025,15:35,Afternoon,All,Male,34,Adult,3,Meerapur PS,Under Investigation
159,Jhunsi,25.402,81.9,Theft,1,18-11-2025,08:39,Morning,Women,Male,15,Teen,1,Jhunsi PS,Unreported
160,Kareli,25.418,81.815,Theft,2,17-11-2025,04:45,Night,All,Male,22,Adult,3,Kareli PS,Reported
161,Civil Lines,25.45,81.84,Chain Snatching,2,15-06-2025,04:04,Night,All,Male,72,Senior,3,Civil Lines PS,Unreported
162,Jhunsi,25.402,81.9,Kidnapping,4,13-07-2025,02:01,Night,Children,Female,73,Senior,1,Jhunsi PS,Closed
163,Allahpur,25.4602,81.8501,Assault,4,20-02-2025,07:28,Morning,All,Male,34,Adult,3,Allahpur PS,Unreported
164,Civil Lines,25.45,81.84,Chain Snatching,4,22-08-2025,10:10,Morning,All,Female,13,Teen,1,Civil Lines PS,Reported
165,Jhunsi,25.402,81.9,Robbery,5,19-04-2025,12:51,Afternoon,Women,Male,43,Adult,2,Jhunsi PS,Closed
166,Naini,25.3925,81.863,Robbery,4,14-09-2025,21:46,Night,Children,Female,49,Adult,3,Naini PS,Closed
167,Katra,25.4358,81.8463,Theft,4,16-02-2025,07:36,Morning,Women,Male,69,Senior,3,Katra PS,Closed
168,Allahpur,25.4602,81.8501,Kidnapping,5,20-07-2025,04:58,Night,All,Male,70,Senior,1,Allahpur PS,Under Investigation
169,Lukerganj,25.444,81.828,Chain Snatching,4,27-06-2025,14:52,Afternoon,Children,Female,72,Senior,2,Lukerganj PS,Unreported
170,Jhunsi,25.402,81.9,Assault,5,26-07-2025,12:53,Afternoon,All,Female,40,Adult,2,Jhunsi PS,Unreported
171,Katra,25.4358,81.8463,Theft,2,03-09-2025,02:26,Night,Women,Male,35,Adult,3,Katra PS,Closed
172,Daraganj,25.428,81.889,Kidnapping,5,20-02-2025,11:23,Morning,Children,Male,36,Adult,2,Daraganj PS,Unreported
173,Daraganj,25.428,81.889,Kidnapping,5,26-07-2025,21:43,Night,All,Male,65,Senior,2,Daraganj PS,Closed
174,Civil Lines,25.45,81.84,Kidnapping,4,17-01-2025,09:25,Morning,Women,Male,29,Adult,3,Civil Lines PS,Unreported
175,Lukerganj,25.444,81.828,Robbery,5,21-07-2025,04:42,Night,Children,Female,14,Teen,2,Lukerganj PS,Unreported
176,Daraganj,25.428,81.889,Robbery,5,17-08-2025,19:01,Evening,Women,Female,8,Child,3,Daraganj PS,Reported
177,Lukerganj,25.444,81.828,Theft,4,22-10-2025,03:26,Night,Children,Female,71,Senior,3,Lukerganj PS,Reported
178,Civil Lines,25.45,81.84,Robbery,4,13-06-2025,20:38,Evening,All,Female,25,Adult,3,Civil Lines PS,Closed
179,Naini,25.3925,81.863,Robbery,5,19-07-2025,10:58,Morning,Women,Male,21,Adult,2,Naini PS,Reported
180,Meerapur,25.43,81.82,Kidnapping,5,19-10-2025,21:27,Night,Children,Male,28,Adult,2,Meerapur PS,Reported
181,Civil Lines,25.45,81.84,Kidnapping,5,18-07-2025,07:17,Morning,Women,Male,66,Senior,2,Civil Lines PS,Unreported
182,Lukerganj,25.444,81.828,Theft,2,25-11-2025,02:32,Night,Children,Male,62,Senior,1,Lukerganj PS,Reported
183,Kareli,25.418,81.815,Chain Snatching,1,10-03-2025,08:17,Morning,All,Male,10,Child,1,Kareli PS,Closed
184,Allahpur,25.4602,81.8501,Chain Snatching,2,12-08-2025,20:31,Evening,All,Male,39,Adult,2,Allahpur PS,Unreported
185,Kareli,25.418,81.815,Robbery,5,17-11-2025,23:41,Night,Children,Male,59,Adult,2,Kareli PS,Unreported
186,Civil Lines,25.45,81.84,Robbery,5,25-10-2025,03:14,Night,Women,Female,64,Senior,3,Civil Lines PS,Under Investigation
187,Meerapur,25.43,81.82,Harassment,3,16-10-2025,23:52,Night,Children,Female,33,Adult,2,Meerapur PS,Under Investigation
188,Phaphamau,25.503,81.885,Harassment,3,01-11-2025,03:39,Night,Women,Male,70,Senior,3,Phaphamau PS,Reported
189,Allahpur,25.4602,81.8501,Chain Snatching,3,27-12-2025,00:13,Night,Children,Female,11,Child,1,Allahpur PS,Reported
190,Daraganj,25.428,81.889,Harassment,3,21-06-2025,11:44,Morning,Children,Male,59,Adult,3,Daraganj PS,Reported
191,Meerapur,25.43,81.82,Kidnapping,4,19-08-2025,22:57,Night,Children,Female,59,Adult,1,Meerapur PS,Unreported
192,Dhoomanganj,25.448,81.79,Robbery,4,23-09-2025,19:03,Evening,Children,Female,74,Senior,1,Dhoomanganj PS,Unreported
193,Naini,25.3925,81.863,Harassment,3,25-01-2025,16:17,Afternoon,Children,Male,36,Adult,3,Naini PS,Under Investigation
194,Phaphamau,25.503,81.885,Assault,4,03-04-2025,10:28,Morning,Women,Male,39,Adult,2,Phaphamau PS,Closed
195,Naini,25.3925,81.863,Robbery,4,09-01-2025,23:59,Night,Women,Male,25,Adult,3,Naini PS,Reported
196,Meerapur,25.43,81.82,Theft,2,01-07-2025,19:17,Evening,Children,Female,57,Adult,1,Meerapur PS,Closed
197,Jhunsi,25.402,81.9,Kidnapping,5,12-06-2025,21:18,Night,Women,Female,59,Adult,2,Jhunsi PS,Unreported
198,Lukerganj,25.444,81.828,Kidnapping,4,07-05-2025,07:57,Morning,Women,Male,15,Teen,2,Lukerganj PS,Reported
199,Allahpur,25.4602,81.8501,Assault,4,19-04-2025,18:40,Evening,Women,Female,54,Adult,3,Allahpur PS,Reported
200,Allahpur,25.4602,81.8501,Assault,4,13-05-2025,23:30,Night,All,Male,35,Adult,3,Allahpur PS,Unreported
201,Daraganj,25.428,81.889,Theft,1,12-10-2025,07:52,Morning,Children,Male,49,Adult,3,Daraganj PS,Closed
202,Meerapur,25.43,81.82,Assault,4,06-06-2025,05:33,Night,All,Male,74,Senior,1,Meerapur PS,Closed
203,Kareli,25.418,81.815,Theft,2,27-07-2025,05:18,Night,All,Female,30,Adult,3,Kareli PS,Closed
204,Phaphamau,25.503,81.885,Kidnapping,5,24-07-2025,18:41,Evening,All,Female,70,Senior,1,Phaphamau PS,Closed
205,Jhunsi,25.402,81.9,Kidnapping,4,05-03-2025,20:04,Evening,Women,Male,68,Senior,1,Jhunsi PS,Unreported
206,Katra,25.4358,81.8463,Assault,5,11-01-2025,05:15,Night,Children,Female,17,Teen,3,Katra PS,Unreported
207,Naini,25.3925,81.863,Harassment,2,16-10-2025,13:53,Afternoon,All,Male,16,Teen,1,Naini PS,Reported
208,Allahpur,25.4602,81.8501,Assault,5,15-04-2025,12:02,Afternoon,Children,Female,57,Adult,1,Allahpur PS,Unreported
209,Allahpur,25.4602,81.8501,Robbery,5,13-08-2025,01:18,Night,All,Male,25,Adult,3,Allahpur PS,Under Investigation
210,Daraganj,25.428,81.889,Assault,5,30-06-2025,07:30,Morning,All,Male,29,Adult,3,Daraganj PS,Reported
211,Naini,25.3925,81.863,Kidnapping,4,31-10-2025,03:02,Night,Children,Male,75,Senior,2,Naini PS,Under Investigation
